"State","District","Kharif","Summer"
"Madhya Pradesh","SEONI","1","0"
"Madhya Pradesh","SHAHDOL","1","0"
"Madhya Pradesh","SHAJAPUR","1","0"
"Madhya Pradesh","SHEOPUR","1","0"
"Madhya Pradesh","SHIVPURI","1","0"
"Madhya Pradesh","SIDHI","1","0"
"Madhya Pradesh","SINGRAULI","1","0"
"Madhya Pradesh","TIKAMGARH","1","0"
"Madhya Pradesh","UJJAIN","1","0"
"Madhya Pradesh","UMARIA","1","0"
"Madhya Pradesh","VIDISHA","1","0"
"Nagaland","DIMAPUR","1","0"
"Nagaland","KIPHIRE","1","0"
"Nagaland","KOHIMA","1","0"
"Nagaland","LONGLENG","1","0"
"Nagaland","MOKOKCHUNG","1","0"
"Nagaland","MON","1","0"
"Nagaland","PEREN","1","0"
"Nagaland","PHEK","1","0"
"Nagaland","TUENSANG","1","0"
"Nagaland","WOKHA","1","0"
"Nagaland","ZUNHEBOTO","1","0"
"Telangana","JOGULAMBA","1","0"
"Telangana","MEDAK","1","0"
"Telangana","NAGARKURNOOL","1","0"
"Telangana","NALGONDA","1","0"
"Telangana","RANGAREDDI","1","0"
"Telangana","SANGAREDDY","1","0"
"Telangana","VIKARABAD","1","0"
"Uttar Pradesh","AGRA","1","0"
"Uttar Pradesh","ALIGARH","1","0"
"Uttar Pradesh","ALLAHABAD","1","0"
"Uttar Pradesh","AMBEDKAR NAGAR","1","0"
"Uttar Pradesh","AMETHI","1","0"
"Uttar Pradesh","AMROHA","1","0"
"Uttar Pradesh","AURAIYA","1","0"
"Uttar Pradesh","AZAMGARH","1","0"
"Uttar Pradesh","BAGHPAT","1","0"
"Uttar Pradesh","BAHRAICH","1","0"
"Uttar Pradesh","BALLIA","1","0"
"Uttar Pradesh","BANDA","1","0"
"Uttar Pradesh","BARABANKI","1","0"
"Uttar Pradesh","BAREILLY","1","0"
"Uttar Pradesh","BUDAUN","1","0"
"Uttar Pradesh","BULANDSHAHR","1","0"
"Uttar Pradesh","CHANDAULI","1","0"
"Uttar Pradesh","CHITRAKOOT","1","0"
"Uttar Pradesh","DEORIA","1","0"
"Uttar Pradesh","ETAH","1","0"
"Uttar Pradesh","ETAWAH","1","0"
"Uttar Pradesh","FAIZABAD","1","0"
"Uttar Pradesh","FARRUKHABAD","1","0"
"Uttar Pradesh","FATEHPUR","1","0"
"Uttar Pradesh","FIROZABAD","1","0"
"Uttar Pradesh","GAUTAM BUDDHA NAGAR","1","0"
"Uttar Pradesh","GHAZIPUR","1","0"
"Uttar Pradesh","GORAKHPUR","1","0"
"Uttar Pradesh","HAMIRPUR","1","0"
"Uttar Pradesh","HAPUR","1","0"
"Uttar Pradesh","HARDOI","1","0"
"Uttar Pradesh","HATHRAS","1","0"
"Uttar Pradesh","JALAUN","1","0"
"Uttar Pradesh","JAUNPUR","1","0"
"Uttar Pradesh","JHANSI","1","0"
"Uttar Pradesh","KANNAUJ","1","0"
"Uttar Pradesh","KANPUR DEHAT","1","0"
"Uttar Pradesh","KANPUR NAGAR","1","0"
"Uttar Pradesh","KASGANJ","1","0"
"Uttar Pradesh","KAUSHAMBI","1","0"
"Uttar Pradesh","KHERI","1","0"
"Uttar Pradesh","KUSHI NAGAR","1","0"
"Uttar Pradesh","LUCKNOW","1","0"
"Uttar Pradesh","MAHOBA","1","0"
"Uttar Pradesh","MAINPURI","1","0"
"Uttar Pradesh","MATHURA","1","0"
"Uttar Pradesh","MAU","1","0"
"Uttar Pradesh","MEERUT","1","0"
"Uttar Pradesh","MIRZAPUR","1","0"
"Uttar Pradesh","MORADABAD","1","0"
"Uttar Pradesh","PRATAPGARH","1","0"
"Uttar Pradesh","RAE BARELI","1","0"
"Uttar Pradesh","RAMPUR","1","0"
"Uttar Pradesh","SAMBHAL","1","0"
"Uttar Pradesh","SANT KABEER NAGAR","1","0"
"Uttar Pradesh","SANT RAVIDAS NAGAR","1","0"
"Uttar Pradesh","SHAHJAHANPUR","1","0"
"Uttar Pradesh","SITAPUR","1","0"
"Uttar Pradesh","SONBHADRA","1","0"
"Uttar Pradesh","SULTANPUR","1","0"
"Uttar Pradesh","UNNAO","1","0"
"Uttar Pradesh","VARANASI","1","0"
"West Bengal","PURULIA","1","0"
