State,District,Kharif
Tripura,SEPAHIJALA,1
Tripura,SOUTH TRIPURA,1
Tripura,UNAKOTI,1
Uttar Pradesh, BAHRAICH,1
Uttar Pradesh, BANDA,1
Uttar Pradesh, CHITRAKOOT,1
Uttar Pradesh, HAMIRPUR,1
Uttar Pradesh, HARDOI,1
Uttar Pradesh, JALAUN,1
Uttar Pradesh, JHANSI,1
Uttar Pradesh, KANPUR DEHAT,1
Uttar Pradesh, LALITPUR,1
Uttar Pradesh, MAHOBA,1
Uttar Pradesh, PILIBHIT,1
Uttar Pradesh, RAMPUR,1
Uttar Pradesh, SHAHJAHANPUR,1
Uttarakhand,ALMORA,1
Uttarakhand,BAGESHWAR,1
Uttarakhand,CHAMOLI,1
Uttarakhand,CHAMPAWAT,1
Uttarakhand,DEHRADUN,1
Uttarakhand,HARIDWAR,1
Uttarakhand,NAINITAL,1
Uttarakhand,PAURI GARHWAL,1
Uttarakhand,PITHORAGARH,1
Uttarakhand,RUDRA PRAYAG,1
Uttarakhand,TEHRI GARHWAL,1
Uttarakhand,UDAM SINGH NAGAR,1
Uttarakhand,UTTAR KASHI,1
West Bengal,BIRBHUM,1
West Bengal,DARJEELING,1
West Bengal,KALIMPONG,1
