"State","District","Kharif","Rabi","Autumn","Winter"
"Maharashtra","AHMEDNAGAR","1","0","0","0"
"Maharashtra","AMRAVATI","1","0","0","0"
"Maharashtra","BEED","1","0","0","0"
"Maharashtra","CHANDRAPUR","1","0","0","0"
"Maharashtra","DHULE","1","0","0","0"
"Maharashtra","GADCHIROLI","1","0","0","0"
"Maharashtra","GONDIA","1","0","0","0"
"Maharashtra","KOLHAPUR","1","0","0","0"
"Maharashtra","LATUR","1","0","0","0"
"Maharashtra","NAGPUR","1","0","0","0"
"Maharashtra","NANDED","1","0","0","0"
"Maharashtra","NANDURBAR","1","0","0","0"
"Maharashtra","NASHIK","1","0","0","0"
"Maharashtra","PALGHAR","1","0","0","0"
"Maharashtra","RATNAGIRI","1","0","0","0"
"Maharashtra","SANGLI","1","0","0","0"
"Maharashtra","SATARA","1","0","0","0"
"Maharashtra","SINDHUDURG","1","0","0","0"
"Maharashtra","SOLAPUR","1","0","0","0"
"Maharashtra","THANE","1","0","0","0"
"Manipur","BISHNUPUR","1","0","0","0"
"Manipur","CHANDEL","1","0","0","0"
"Manipur","CHURACHANDPUR","1","0","0","0"
"Manipur","IMPHAL EAST","1","0","0","0"
"Manipur","IMPHAL WEST","1","0","0","0"
"Manipur","SENAPATI","1","0","0","0"
"Manipur","TAMENGLONG","1","0","0","0"
"Manipur","THOUBAL","1","0","0","0"
"Manipur","UKHRUL","1","0","0","0"
"Meghalaya","EAST GARO HILLS","0","0","1","1"
"Meghalaya","EAST JAINTIA HILLS","0","0","1","1"
"Meghalaya","EAST KHASI HILLS","0","0","1","1"
"Meghalaya","NORTH GARO HILLS","0","0","1","1"
"Meghalaya","RI BHOI","0","0","1","1"
"Meghalaya","SOUTH GARO HILLS","0","0","1","1"
"Meghalaya","SOUTH WEST GARO HILLS","0","0","1","1"
"Meghalaya","SOUTH WEST KHASI HILLS","0","0","1","1"
"Meghalaya","WEST GARO HILLS","0","0","1","1"
"Meghalaya","WEST JAINTIA HILLS","0","0","1","1"
"Meghalaya","WEST KHASI HILLS","0","0","1","1"
"Sikkim","EAST DISTRICT","1","0","0","0"
"Sikkim","NORTH DISTRICT","1","0","0","0"
"Sikkim","SOUTH DISTRICT","1","0","0","0"
"Sikkim","WEST DISTRICT","1","0","0","0"
"Telangana","ADILABAD","1","1","0","0"
"Telangana","BHADRADRI","1","1","0","0"
"Telangana","HYDERABAD","1","1","0","0"
"Telangana","JAGITIAL","1","1","0","0"
"Telangana","JANGOAN","1","1","0","0"
"Telangana","JAYASHANKAR","1","1","0","0"
"Telangana","JOGULAMBA","1","1","0","0"
"Telangana","KAMAREDDY","1","1","0","0"
"Telangana","KARIMNAGAR","1","1","0","0"
"Telangana","KHAMMAM","1","1","0","0"
"Telangana","KOMARAM BHEEM ASIFABAD","1","1","0","0"
"Telangana","MAHABUBABAD","1","1","0","0"
"Telangana","MAHBUBNAGAR","1","1","0","0"
"Telangana","MANCHERIAL","1","1","0","0"
"Telangana","MEDAK","1","1","0","0"
"Telangana","MEDCHAL","1","1","0","0"
"Telangana","MULUGU","1","1","0","0"
"Telangana","NAGARKURNOOL","1","1","0","0"
"Telangana","NALGONDA","1","1","0","0"
"Telangana","NARAYANAPET","1","1","0","0"
"Telangana","NIRMAL","1","1","0","0"
"Telangana","NIZAMABAD","1","1","0","0"
"Telangana","PEDDAPALLI","1","1","0","0"
"Telangana","RAJANNA","1","1","0","0"
"Telangana","RANGAREDDI","1","1","0","0"
"Telangana","SANGAREDDY","1","1","0","0"
"Telangana","SIDDIPET","1","1","0","0"
"Telangana","SURYAPET","1","1","0","0"
"Telangana","VIKARABAD","1","1","0","0"
"Telangana","WANAPARTHY","1","1","0","0"
"Telangana","WARANGAL","1","1","0","0"
"Telangana","WARANGAL URBAN","1","1","0","0"
"Telangana","YADADRI","1","1","0","0"
"Uttar Pradesh","AGRA","1","0","0","0"
"Uttar Pradesh","ALIGARH","1","0","0","0"
"Uttar Pradesh","ALLAHABAD","1","0","0","0"
"Uttar Pradesh","AMBEDKAR NAGAR","1","0","0","0"
"Uttar Pradesh","AMETHI","1","0","0","0"
"Uttar Pradesh","AMROHA","1","0","0","0"
"Uttar Pradesh","AURAIYA","1","0","0","0"
"Uttar Pradesh","AZAMGARH","1","0","0","0"
"Uttar Pradesh","BAGHPAT","1","0","0","0"
"Uttar Pradesh","BAHRAICH","1","0","0","0"
"Uttar Pradesh","BALLIA","1","0","0","0"
"Uttar Pradesh","BALRAMPUR","1","0","0","0"
"Uttar Pradesh","BANDA","1","0","0","0"
"Uttar Pradesh","BARABANKI","1","0","0","0"
"Uttar Pradesh","BAREILLY","1","0","0","0"
"Uttar Pradesh","BASTI","1","0","0","0"
"Uttar Pradesh","BIJNOR","1","0","0","0"
"Uttar Pradesh","BUDAUN","1","0","0","0"
"Uttar Pradesh","BULANDSHAHR","1","0","0","0"
"Uttar Pradesh","CHANDAULI","1","0","0","0"
"Uttar Pradesh","CHITRAKOOT","1","0","0","0"
"Uttar Pradesh","DEORIA","1","0","0","0"
"Uttar Pradesh","ETAH","1","0","0","0"
"Uttar Pradesh","ETAWAH","1","0","0","0"
"Uttar Pradesh","FAIZABAD","1","0","0","0"
"Uttar Pradesh","FARRUKHABAD","1","0","0","0"
"Uttar Pradesh","FATEHPUR","1","0","0","0"
"Uttar Pradesh","FIROZABAD","1","0","0","0"
"Uttar Pradesh","GAUTAM BUDDHA NAGAR","1","0","0","0"
"Uttar Pradesh","GHAZIABAD","1","0","0","0"
"Uttar Pradesh","GHAZIPUR","1","0","0","0"
"Uttar Pradesh","GONDA","1","0","0","0"
"Uttar Pradesh","GORAKHPUR","1","0","0","0"
"Uttar Pradesh","HAMIRPUR","1","0","0","0"
"Uttar Pradesh","HAPUR","1","0","0","0"
"Uttar Pradesh","HARDOI","1","0","0","0"
"Uttar Pradesh","HATHRAS","1","0","0","0"
"Uttar Pradesh","JALAUN","1","0","0","0"
"Uttar Pradesh","JAUNPUR","1","0","0","0"
"Uttar Pradesh","JHANSI","1","0","0","0"
"Uttar Pradesh","KANNAUJ","1","0","0","0"
"Uttar Pradesh","KANPUR DEHAT","1","0","0","0"
"Uttar Pradesh","KANPUR NAGAR","1","0","0","0"
"Uttar Pradesh","KASGANJ","1","0","0","0"
"Uttar Pradesh","KAUSHAMBI","1","0","0","0"
"Uttar Pradesh","KHERI","1","0","0","0"
"Uttar Pradesh","KUSHI NAGAR","1","0","0","0"
"Uttar Pradesh","LALITPUR","1","0","0","0"
"Uttar Pradesh","LUCKNOW","1","0","0","0"
"Uttar Pradesh","MAHARAJGANJ","1","0","0","0"
"Uttar Pradesh","MAHOBA","1","0","0","0"
"Uttar Pradesh","MAINPURI","1","0","0","0"
"Uttar Pradesh","MATHURA","1","0","0","0"
"Uttar Pradesh","MAU","1","0","0","0"
"Uttar Pradesh","MEERUT","1","0","0","0"
"Uttar Pradesh","MIRZAPUR","1","0","0","0"
"Uttar Pradesh","MORADABAD","1","0","0","0"
"Uttar Pradesh","MUZAFFARNAGAR","1","0","0","0"
"Uttar Pradesh","PILIBHIT","1","0","0","0"
"Uttar Pradesh","PRATAPGARH","1","0","0","0"
"Uttar Pradesh","RAE BARELI","1","0","0","0"
"Uttar Pradesh","RAMPUR","1","0","0","0"
"Uttar Pradesh","SAHARANPUR","1","0","0","0"
"Uttar Pradesh","SAMBHAL","1","0","0","0"
"Uttar Pradesh","SANT KABEER NAGAR","1","0","0","0"
"Uttar Pradesh","SANT RAVIDAS NAGAR","1","0","0","0"
"Uttar Pradesh","SHAHJAHANPUR","1","0","0","0"
"Uttar Pradesh","SHAMLI","1","0","0","0"
"Uttar Pradesh","SHRAVASTI","1","0","0","0"
"Uttar Pradesh","SIDDHARTH NAGAR","1","0","0","0"
"Uttar Pradesh","SITAPUR","1","0","0","0"
"Uttar Pradesh","SONBHADRA","1","0","0","0"
"Uttar Pradesh","SULTANPUR","1","0","0","0"
"Uttar Pradesh","UNNAO","1","0","0","0"
"Uttar Pradesh","VARANASI","1","0","0","0"
"Uttarakhand","ALMORA","1","0","0","0"
"Uttarakhand","BAGESHWAR","1","0","0","0"
"Uttarakhand","CHAMOLI","1","0","0","0"
"Uttarakhand","CHAMPAWAT","1","0","0","0"
"Uttarakhand","DEHRADUN","1","0","0","0"
"Uttarakhand","HARIDWAR","1","0","0","0"
"Uttarakhand","NAINITAL","1","0","0","0"
"Uttarakhand","PAURI GARHWAL","1","0","0","0"
"Uttarakhand","PITHORAGARH","1","0","0","0"
"Uttarakhand","RUDRA PRAYAG","1","0","0","0"
"Uttarakhand","TEHRI GARHWAL","1","0","0","0"
"Uttarakhand","UDAM SINGH NAGAR","1","0","0","0"
"Uttarakhand","UTTAR KASHI","1","0","0","0"
"West Bengal","24 PARAGANAS NORTH","0","0","1","1"
"West Bengal","24 PARAGANAS SOUTH","0","0","1","1"
"West Bengal","ALIPURDUAR","0","0","1","1"
"West Bengal","BANKURA","0","0","1","1"
"West Bengal","BIRBHUM","0","0","1","1"
"West Bengal","COOCHBEHAR","0","0","1","1"
"West Bengal","DARJEELING","0","0","1","1"
"West Bengal","DINAJPUR DAKSHIN","0","0","1","1"
"West Bengal","DINAJPUR UTTAR","0","0","1","1"
"West Bengal","HOOGHLY","0","0","1","1"
"West Bengal","HOWRAH","0","0","1","1"
"West Bengal","JALPAIGURI","0","0","1","1"
"West Bengal","JHARGRAM","0","0","1","1"
"West Bengal","KALIMPONG","0","0","1","1"
"West Bengal","MALDAH","0","0","1","1"
"West Bengal","MEDINIPUR EAST","0","0","1","1"
"West Bengal","MEDINIPUR WEST","0","0","1","1"
"West Bengal","MURSHIDABAD","0","0","1","1"
"West Bengal","NADIA","0","0","1","1"
"West Bengal","PASCHIM BARDHAMAN","0","0","1","1"
"West Bengal","PURBA BARDHAMAN","0","0","1","1"
"West Bengal","PURULIA","0","0","1","1"
